#
#       site : https://molat.obspm.fr/index.php?page=pages/Molecules/CO-Rostas/view_data.php&fichier=T112C16O.txt
#
#       Table 1A. Absorption lines of 12C16O listed by rotational number (J") of
#                 the lower level.  
#
#       - column no 1 : (" between quotes ") band identification
#       - column no 2 : lower vibrational level
#       - column no 3 : lower rotational  level
#       - column no 4 : wavelength (in nm)
#       - column no 5 : wavenumber (in cm-1)
#       - column no 6 : oscillator strength
#       - column no 7 : upper state reciprocal lifetime (in s-1)
#       - column no 8 : upper state branching ratio towards dissociation
#
#       For more details concerning this table, please refer to page 234 of the paper by
#       Eidelsberg et al.(1991) which can be downloaded from this site. 
#
nb of lines:  3051
"C12O16 38   C  3ps1S 1-0 R( 1)"   0   1  106.3001  94073.27 1.847E-03 1.000E+09 6.000E-01
"C12O16 39   E  3pp1P 0-0 Q( 1)"   0   1  107.6078  92930.04 1.825E-02 1.000E+09 8.900E-01
"C12O16 39   E  3pp1P 0-0 R( 1)"   0   1  107.5987  92937.92 1.825E-02 1.000E+09 8.900E-01
"C12O16 40   C  3ps1S 0-0 P( 1)"   0   1  108.7959  91915.26 2.062E-02 1.000E+09 0.000E+00
"C12O16 40   C  3ps1S 0-0 R( 1)"   0   1  108.7821  91926.93 4.125E-02 1.000E+09 0.000E+00
"C12O16 41   B  3ss1S 2-0 P( 1)"   0   1  109.9091  90984.28 1.247E-05 3.333E+11 1.000E+00
"C12O16 41   B  3ss1S 2-0 R( 1)"   0   1  109.8955  90995.55 2.495E-05 3.333E+11 1.000E+00
"C12O16 42   B  3ss1S 1-0 P( 1)"   0   1  112.3665  88994.47 2.387E-04 1.000E+08 0.000E+00
"C12O16 42   B  3ss1S 1-0 R( 1)"   0   1  112.3520  89006.01 4.774E-04 1.000E+08 0.000E+00
"C12O16 43   B  3ss1S 0-0 P( 1)"   0   1  115.0585  86912.33 1.505E-03 1.000E+08 0.000E+00
"C12O16 43   B  3ss1S 0-0 R( 1)"   0   1  115.0430  86924.02 3.011E-03 1.000E+08 0.000E+00
"C12O16 7A         1P 0-0 P( 2)"   0   2   91.2765 109557.21 3.377E-04 1.000E+10 1.000E+00
"C12O16 7A         1P 0-0 Q( 2)"   0   2   91.2701 109564.90 1.689E-03 1.000E+10 1.000E+00
"C12O16 7A         1P 0-0 R( 2)"   0   2   91.2605 109576.43 1.351E-03 1.000E+10 1.000E+00
"C12O16 7B      5ps1S 1-0 P( 2)"   0   2   91.3461 109473.70 6.718E-04 1.000E+10 1.000E+00
"C12O16 7B      5ps1S 1-0 R( 2)"   0   2   91.3309 109491.99 1.008E-03 1.000E+10 1.000E+00
"C12O16 7C      5pp1P 1-0 P( 2)"   0   2   91.3489 109470.38 1.679E-04 1.000E+10 1.000E+00
"C12O16 7C      5pp1P 1-0 Q( 2)"   0   2   91.3424 109478.20 8.397E-04 1.000E+10 1.000E+00
"C12O16 7C      5pp1P 1-0 R( 2)"   0   2   91.3326 109489.93 6.718E-04 1.000E+10 1.000E+00
"C12O16 7D         1S 2-0 P( 2)"   0   2   91.3731 109441.41 1.077E-02 1.000E+10 1.000E+00
"C12O16 7D         1S 2-0 R( 2)"   0   2   91.3583 109459.14 1.616E-02 1.000E+10 1.000E+00
"C12O16 8A      6pp1P 0-0 P( 2)"   0   2   91.5791 109195.27 1.981E-04 1.000E+11 1.000E+00
"C12O16 8A      6pp1P 0-0 Q( 2)"   0   2   91.5727 109202.87 9.905E-04 1.000E+11 1.000E+00
"C12O16 8A      6pp1P 0-0 R( 2)"   0   2   91.5631 109214.27 7.924E-04 1.000E+11 1.000E+00
"C12O16 8B      6ps1S 0-0 P( 2)"   0   2   91.6039 109165.69 3.168E-03 1.000E+11 1.000E+00
"C12O16 8B      6ps1S 0-0 R( 2)"   0   2   91.5895 109182.83 4.752E-03 1.000E+11 1.000E+00
"C12O16 9A         1P 2-0 P( 2)"   0   2   91.7341 109010.71 2.270E-03 1.000E+11 1.000E+00
